feature_name,source_column,feature_group,lag,transformation,availability,leakage_status,description
snow_3h_valencia_lag_24,snow_3h_Valencia,historical_weather,24,shift(+24),historical_observation_only,SAFE,Valencia snow_3h observation at t-24; same-hour weather excluded
snow_3h_valencia_lag_168,snow_3h_Valencia,historical_weather,168,shift(+168),historical_observation_only,SAFE,Valencia snow_3h observation at t-168; same-hour weather excluded
temp_national_mean_lag_24,temp_*,weather_aggregate,24,spatial_stat_then_shift(+24),historical_observation_only,SAFE,"mean temp across 5 cities at s, then lag; uses weather at t-24 only, never t"
temp_national_mean_lag_168,temp_*,weather_aggregate,168,spatial_stat_then_shift(+168),historical_observation_only,SAFE,"mean temp across 5 cities at s, then lag; uses weather at t-168 only, never t"
humidity_national_mean_lag_24,humidity_*,weather_aggregate,24,spatial_stat_then_shift(+24),historical_observation_only,SAFE,"mean humidity across 5 cities at s, then lag; uses weather at t-24 only, never t"
humidity_national_mean_lag_168,humidity_*,weather_aggregate,168,spatial_stat_then_shift(+168),historical_observation_only,SAFE,"mean humidity across 5 cities at s, then lag; uses weather at t-168 only, never t"
wind_speed_national_mean_lag_24,wind_speed_*,weather_aggregate,24,spatial_stat_then_shift(+24),historical_observation_only,SAFE,"mean wind_speed across 5 cities at s, then lag; uses weather at t-24 only, never t"
wind_speed_national_mean_lag_168,wind_speed_*,weather_aggregate,168,spatial_stat_then_shift(+168),historical_observation_only,SAFE,"mean wind_speed across 5 cities at s, then lag; uses weather at t-168 only, never t"
clouds_all_national_mean_lag_24,clouds_all_*,weather_aggregate,24,spatial_stat_then_shift(+24),historical_observation_only,SAFE,"mean clouds_all across 5 cities at s, then lag; uses weather at t-24 only, never t"
clouds_all_national_mean_lag_168,clouds_all_*,weather_aggregate,168,spatial_stat_then_shift(+168),historical_observation_only,SAFE,"mean clouds_all across 5 cities at s, then lag; uses weather at t-168 only, never t"
rain_1h_national_max_lag_24,rain_1h_*,weather_aggregate,24,spatial_stat_then_shift(+24),historical_observation_only,SAFE,"max rain_1h across 5 cities at s, then lag; uses weather at t-24 only, never t"
rain_1h_national_max_lag_168,rain_1h_*,weather_aggregate,168,spatial_stat_then_shift(+168),historical_observation_only,SAFE,"max rain_1h across 5 cities at s, then lag; uses weather at t-168 only, never t"
